,Movie,Director,Actors,Rating
68,Xanadu,Robert Greenwald,"Olivia Newton-John, Gene Kelly, Michael Beck, James Sloyan",31
69,Victor/Victoria,"Matthew Diamond, Blake Edwards, Goro Kobayashi","Julie Andrews, Tony Roberts, Michael Nouri, Rachel York",N/A
70,The Wiz,Sidney Lumet,"Diana Ross, Michael Jackson, Nipsey Russell, Ted Ross",53
71,Little Voice,Mark Herman,"Brenda Blethyn, Jane Horrocks, Ewan McGregor, Philip Jackson",68
72,Fame,Alan Parker,"Eddie Barth, Irene Cara, Lee Curreri, Laura Dean",58
73,The Legend of 1900,Giuseppe Tornatore,"Tim Roth, Pruitt Taylor Vince, Mélanie Thierry, Bill Nunn",58
74,The Sapphires,Wayne Blair,"Tanika Lonesborough, Nioka Brennan, Lynette Narkle, Kylie Belling",67
75,This is the Army,Michael Curtiz,"George Murphy, Joan Leslie, George Tobias, Alan Hale",N/A
76,Bedknobs and Broomsticks,"Robert Stevenson, Ward Kimball","Angela Lansbury, David Tomlinson, Roddy McDowall, Sam Jaffe",59
77,Dance With Me,Randa Haines,"Vanessa Williams, Chayanne, Kris Kristofferson, Joan Plowright",N/A
78,Breakin' 2: Electric Boogaloo,Sam Firstenberg,"Lucinda Dickey, Adolfo Quinones, Michael Chambers, Susie Coelho",55
79,The Music Man,Morton DaCosta,"Robert Preston, Shirley Jones, Buddy Hackett, Hermione Gingold",N/A
80,Dostana,Haider Chaudhry,"Ali Ahmad, Shaukat Ali, Anjuman, Abdul Karim Baloch",N/A
81,Blue Skies,"Stuart Heisler, Mark Sandrich","Bing Crosby, Fred Astaire, Joan Caulfield, Billy De Wolfe",N/A
82,Grease 2,Patricia Birch,"Maxwell Caulfield, Michelle Pfeiffer, Lorna Luft, Maureen Teefy",52
83,A Chorus Line,Richard Attenborough,"Michael Blevins, Yamil Borges, Jan Gan Boyd, Sharon Brown",46
84,"New York, New York",Martin Scorsese,"Liza Minnelli, Robert De Niro, Lionel Stander, Barry Primus",64
85,Bye Bye Birdie,George Sidney,"Janet Leigh, Dick Van Dyke, Ann-Margret, Maureen Stapleton",N/A
86,Meet Me in St. Louis,Vincente Minnelli,"Judy Garland, Margaret O'Brien, Mary Astor, Lucille Bremer",94
87,Idlewild,Bryan Barber,"André 3000, Big Boi, Paula Patton, Terrence Howard",55
88,Sing Street,John Carney,"Ferdia Walsh-Peelo, Kelly Thornton, Maria Doyle Kennedy, Jack Reynor",79
89,Help!,Richard Lester,"The Beatles, Leo McKern, Eleanor Bron, Victor Spinetti",N/A
90,The King and I,Walter Lang,"Deborah Kerr, Yul Brynner, Rita Moreno, Martin Benson",72
91,Gentlemen Prefer Blondes,Howard Hawks,"Jane Russell, Marilyn Monroe, Charles Coburn, Elliott Reid",N/A
92,Shigatsu wa kimi no uso,N/A,"Natsuki Hanae, Risa Taneda, Ayane Sakura, Ryôta Ôsaka",N/A
93,Thumbelina,"Don Bluth, Gary Goldman","Gino Conforti, Barbara Cook, Jodi Benson, Will Ryan",N/A
94,Who's the Man?,Ted Demme,"Ed Lover, Doctor Dré, Badja Djola, Cheryl 'Salt' James",N/A
95,Please Don't Eat the Daisies,Charles Walters,"Doris Day, David Niven, Janis Paige, Spring Byington",N/A
96,The Unsinkable Molly Brown,Charles Walters,"Debbie Reynolds, Harve Presnell, Ed Begley, Jack Kruschen",N/A
97,Aashiqui 2,Mohit Suri,"Aditya Roy Kapoor, Shraddha Kapoor, Shaad Randhawa, Salil Acharya",N/A
98,Show Boat,George Sidney,"Kathryn Grayson, Ava Gardner, Howard Keel, Joe E. Brown",N/A
99,Blue Hawaii,Norman Taurog,"Elvis Presley, Joan Blackman, Angela Lansbury, Nancy Walters",58
100,Babes in Toyland,Jack Donohue,"Ray Bolger, Tommy Sands, Annette Funicello, Ed Wynn",55
101,ABCD (Any Body Can Dance),Remo D'Souza,"Prabhu Deva, Ganesh Acharya, Kay Kay Menon, Lauren Gottlieb",N/A
102,Under the Cherry Moon,"Prince, Michael Ballhaus","Prince, Jerome Benton, Kristin Scott Thomas, Steven Berkoff",36
103,Viva Las Vegas,George Sidney,"Elvis Presley, Ann-Margret, Cesare Danova, William Demarest",69
104,Sunshine on Leith,Dexter Fletcher,"Paul Brannigan, George MacKay, Kevin Guthrie, Jane Horrocks",66
105,Annie Get Your Gun,"George Sidney, Busby Berkeley","Betty Hutton, Howard Keel, Louis Calhern, J. Carrol Naish",77
106,Sweet Charity,Bob Fosse,"Shirley MacLaine, John McMartin, Ricardo Montalban, Sammy Davis Jr.",53
107,The Pirate Movie,Ken Annakin,"Kristy McNichol, Christopher Atkins, Ted Hamilton, Bill Kerr",19
108,Black Nativity,Kasi Lemmons,"Forest Whitaker, Angela Bassett, Jennifer Hudson, Tyrese Gibson",48
109,Gigi,"Vincente Minnelli, Charles Walters","Leslie Caron, Maurice Chevalier, Louis Jourdan, Hermione Gingold",82
110,Singin' in the Rain,"Stanley Donen, Gene Kelly","Gene Kelly, Donald O'Connor, Debbie Reynolds, Jean Hagen",99
111,Bran Nue Dae,Rachel Perkins,"Rocky McKenzie, Jessica Mauboy, Ernie Dingo, Missy Higgins",54
112,Charming,Ross Venokur,"Demi Lovato, Wilmer Valderrama, Sia, Nia Vardalos",N/A
113,Lindenberg! Mach dein Ding,Hermine Huntgeburth,"Jan Bülow, Jesse Hansen, Julia Jentsch, Benjamin Friedhoff",N/A
114,Topsy Turvy,Edward Fleming,"Lars Bom, Nonny Sand, Thomas Alling, Gitte Naur",N/A
115,Pennies from Heaven,Herbert Ross,"Steve Martin, Bernadette Peters, Jessica Harper, Vernel Bagneris",64
116,Swing Kids,Thomas Carter,"Robert Sean Leonard, Christian Bale, Frank Whaley, Barbara Hershey",39
117,Walking on Sunshine,"Max Giwa, Dania Pasquini","Annabel Scholey, Greg Wise, Giulio Berruti, Hannah Arterton",N/A
118,San Francisco,W.S. Van Dyke,"Clark Gable, Jeanette MacDonald, Spencer Tracy, Jack Holt",N/A
119,There's No Business Like Show Business,Walter Lang,"Ethel Merman, Donald O'Connor, Marilyn Monroe, Dan Dailey",N/A
120,Call Me Mister,Lloyd Bacon,"Betty Grable, Dan Dailey, Danny Thomas, Dale Robertson",N/A
121,From Justin to Kelly,Robert Iscove,"Kelly Clarkson, Justin Guarini, Katherine Bailess, Anika Noni Rose",14
122,Aaja Nachle,Anil Mehta,"Madhuri Dixit, Darshan Jariwala, Raghuvir Yadav, Divya Dutta",N/A
123,Anchors Aweigh,"George Sidney, Joseph Barbera, William Hanna","Frank Sinatra, Kathryn Grayson, Gene Kelly, José Iturbi",60
124,An American in Paris,Vincente Minnelli,"Gene Kelly, Leslie Caron, Oscar Levant, Georges Guétary",83
